City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,coruripe,-10.1256,-36.1756,22.32,84,100,3.73,BR,1724109413
216,joal-fadiout,14.1667,-16.8333,27.4,82,100,6.05,SN,1724109414
217,puerto varas,-41.3195,-72.9854,9.12,53,0,1.54,CL,1724109415
218,heroica caborca,30.7167,-112.15,40.72,25,10,6.73,MX,1724109416
219,inhambane,-23.865,35.3833,18.93,78,0,3.59,MZ,1724109417
220,preobrazheniye,42.9019,133.9064,17.17,93,100,4.76,RU,1724109418
221,hami,42.8,93.45,26.75,36,100,1.65,CN,1724109420
222,manohar thana,24.24,76.8018,26.98,79,99,1.01,IN,1724109421
223,tuy hoa,13.0833,109.3,25.51,82,91,2.0,VN,1724109422
224,dnipro,48.45,34.9833,22.64,24,35,1.65,UA,1724109423
225,kodiak,57.79,-152.4072,13.73,58,0,7.2,US,1724109424
226,ceeldheer,3.8488,47.1806,24.39,83,96,10.41,SO,1724109427
227,quellon,-43.1167,-73.6167,5.63,73,0,1.28,CL,1724109428
228,champerico,14.3,-91.9167,28.89,72,27,2.06,GT,1724109429
229,aykhal,66.0,111.5,13.2,76,26,6.5,RU,1724109430
230,dunedin,-45.8742,170.5036,7.67,62,88,4.02,NZ,1724109431
231,moanda,-1.5575,13.2178,23.56,79,90,1.57,GA,1724109432
232,fale old settlement,-9.3852,-171.2468,27.6,79,37,9.97,TK,1724109434
233,howrah,22.5892,88.3103,27.0,94,40,0.0,IN,1724109435
234,muntok,-2.0667,105.1833,25.13,90,68,4.68,ID,1724109436
235,thompson,55.7435,-97.8558,22.09,53,75,3.09,CA,1724109437
236,nabire,-3.3667,135.4833,25.23,93,100,1.53,ID,1724109438
237,salinopolis,-0.6136,-47.3561,26.88,80,97,6.03,BR,1724109439
238,mount isa,-20.7333,139.5,20.87,26,0,1.54,AU,1724109441
239,codrington,-38.2667,141.9667,12.27,84,100,6.05,AU,1724109442
240,sinabang,2.4803,96.3801,23.46,94,100,1.94,ID,1724109443
241,molochnoye,59.2917,39.6787,13.58,77,100,2.76,RU,1724109444
242,novyy turtkul',41.55,61.0167,21.88,35,0,3.88,UZ,1724109445
243,pugachev,52.0133,48.8025,18.96,54,14,1.36,RU,1724109446
244,novokuznetsk,53.7557,87.1099,12.24,90,62,1.82,RU,1724109436
245,verkhnevilyuysk,63.4453,120.3167,17.13,85,89,1.58,RU,1724109450
246,sodra sandby,56.5667,16.6167,14.94,81,0,2.48,SE,1724109451
247,molteno,-31.3968,26.3625,11.8,16,0,3.76,ZA,1724109452
248,tanjung pinang,0.9167,104.45,26.97,81,100,3.7,ID,1724109453
249,shalya,57.2471,58.7298,10.0,97,9,1.45,RU,1724109454
250,polyarnyy,69.1989,33.4478,11.86,88,100,2.36,RU,1724109457
251,nyala,12.05,24.8833,23.77,75,93,3.9,SD,1724109458
252,fort wellington,6.4,-57.6,27.3,77,2,4.8,GY,1724109459
253,port hedland,-20.3167,118.5667,16.03,77,0,3.6,AU,1724109460
254,kupang,-10.1667,123.5833,26.32,78,20,3.6,ID,1724109461
255,nikolayevsk-on-amure,53.1406,140.73,18.73,57,3,2.53,RU,1724109462
256,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,1724109463
257,santa marta,11.2408,-74.199,34.03,55,100,3.09,CO,1724109458
258,mariental,-24.6333,17.9667,18.52,13,0,5.64,NA,1724109466
259,inari,68.906,27.0288,9.89,84,99,3.59,FI,1724109467
260,xiaoweizhai,26.1903,107.5125,21.61,93,72,0.9,CN,1724109468
261,puerto baquerizo moreno,-0.9,-89.6,19.76,80,65,5.52,EC,1724109469
262,san nicolas,18.1725,120.5953,25.95,94,75,2.57,PH,1724109470
263,horta,38.5333,-28.6333,24.45,86,20,1.34,PT,1724109471
264,formosa do rio preto,-11.0483,-45.1931,23.96,35,77,2.07,BR,1724109473
265,rio grande,-32.035,-52.0986,14.87,95,85,5.94,BR,1724109474
266,la ronge,55.1001,-105.2842,22.14,64,75,4.12,CA,1724109475
267,hilo,19.7297,-155.09,28.86,79,40,5.14,US,1724109476
268,sebeta,8.9167,38.6167,11.75,93,82,2.33,ET,1724109477
269,mhamid,29.82,-5.72,37.03,19,76,4.72,MA,1724109478
270,ta`u,-14.2336,-169.5144,26.29,82,29,9.29,AS,1724109479
271,chonchi,-42.6128,-73.8092,3.33,86,1,0.4,CL,1724109480
272,filadelfia,39.9523,-75.1638,25.94,77,75,4.12,US,1724109360
273,le tampon,-21.2667,55.5167,15.89,56,20,3.09,RE,1724109483
274,sabang,5.8933,95.3214,28.56,70,100,7.77,ID,1724109484
275,bonthe,7.5264,-12.505,25.23,88,86,3.8,SL,1724109485
276,saint-philippe,-21.3585,55.7679,19.92,71,46,6.09,RE,1724109486
277,mbanza-ngungu,-5.25,14.8667,23.73,59,11,5.47,CD,1724109487
278,leer,53.2316,7.461,14.41,89,43,3.59,DE,1724109488
279,meadow lake,34.8014,-106.5436,37.1,21,5,4.88,US,1724109490
280,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,71,75,2.0,RU,1724109491
281,nemuro,43.3236,145.575,15.42,79,100,5.09,JP,1724109492
282,yemetsk,63.4721,41.7941,13.13,95,68,2.81,RU,1724109493
283,kingston,17.997,-76.7936,30.53,74,20,7.2,JM,1724109275
284,peace river,56.2501,-117.286,25.17,43,20,4.12,CA,1724109495
285,tchaourou,8.8865,2.5975,21.95,97,100,0.33,BJ,1724109497
286,dabhol,17.6,73.1667,26.48,90,96,1.06,IN,1724109498
287,marsa alam,25.0757,34.8918,33.14,32,14,2.19,EG,1724109373
288,daru,-9.0763,143.2092,26.41,87,98,6.9,PG,1724109500
289,nar'yan-mar,67.6713,53.087,7.92,82,100,0.73,RU,1724109501
290,lorengau,-2.0226,147.2712,29.26,71,98,3.9,PG,1724109502
291,palu,-0.8917,119.8707,24.95,96,92,1.65,ID,1724109503
292,kalmunai,7.4167,81.8167,25.93,86,96,5.7,LK,1724109504
293,balabac,7.9868,117.0645,27.73,81,68,4.73,PH,1724109506
294,saipan,15.1355,145.701,31.39,70,40,6.17,MP,1724109443
295,chifeng,42.2683,118.9636,16.22,98,100,1.81,CN,1724109508
296,puerto ayacucho,5.6639,-67.6236,24.95,90,26,4.49,VE,1724109509
297,tarfaya,27.9358,-12.9218,21.76,90,92,5.93,MA,1724109510
298,berber,18.0216,33.983,29.38,60,74,5.23,SD,1724109511
299,cabinda,-5.55,12.2,21.28,93,41,2.6,AO,1724109512
300,coquimbo,-29.9533,-71.3436,11.85,75,75,1.54,CL,1724108963
301,laguna,38.421,-121.4238,33.86,21,0,5.14,US,1724109515
302,mahina,-17.5065,-149.489,27.87,61,20,5.14,PF,1724109516
303,happy valley-goose bay,53.3168,-60.3315,13.17,88,100,4.63,CA,1724109246
304,karukh,34.4811,62.5863,17.08,27,0,5.87,AF,1724109518
305,chibougamau,49.9168,-74.3659,11.79,82,100,4.63,CA,1724109519
306,mili,6.0815,171.735,28.03,77,100,3.85,MH,1724109520
307,nova vicosa,-17.8919,-39.3719,22.38,78,25,4.01,BR,1724109521
308,galle,6.0367,80.217,27.18,85,100,3.33,LK,1724109523
309,kijang,35.2442,129.2139,26.85,88,46,5.05,KR,1724109526
310,charcas,23.1333,-101.1167,23.59,39,100,7.35,MX,1724109527
311,kruisfontein,-34.0033,24.7314,14.22,35,0,2.71,ZA,1724109528
312,zaozersk,69.4005,32.4476,11.4,85,99,4.13,RU,1724109529
313,kaa-khem,51.6833,94.7333,13.72,83,38,1.53,RU,1724109531
314,mejit,10.2753,170.8646,28.04,82,100,6.67,MH,1724109532
315,ola,59.5833,151.2833,14.11,63,7,0.93,RU,1724109533
316,santo antonio do ica,-3.1022,-67.9397,28.79,55,64,1.2,BR,1724109535
317,east london,-33.0153,27.9116,19.0,34,0,3.18,ZA,1724109536
318,borovskoy,53.8,64.15,12.02,93,5,2.91,KZ,1724109537
319,gustavsberg,59.3268,18.3898,11.94,82,100,2.81,SE,1724109539
320,amasra,41.7463,32.3863,21.19,78,0,2.08,TR,1724109541
321,vorgashor,67.5833,63.95,4.12,86,12,1.52,RU,1724109542
322,sungailiat,-1.85,106.1333,26.64,82,100,3.61,ID,1724109543
323,saacow,1.6279,42.4407,23.81,75,63,7.72,SO,1724109544
324,vanimo,-2.6741,141.3028,26.23,85,100,2.17,PG,1724109545
325,ljusdal,61.8288,16.0913,12.8,61,100,1.95,SE,1724109547
326,hanzhong,33.0728,107.0303,20.23,93,30,0.93,CN,1724109548
327,al muwayh,22.4333,41.7583,31.35,26,88,5.28,SA,1724109549
328,leava,-14.3,-178.1667,26.7,82,3,8.54,WF,1724109550
329,fort mcmurray,56.7268,-111.381,21.77,78,75,2.57,CA,1724109551
330,wainwright,52.839,-110.8572,33.15,23,19,5.15,CA,1724109552
331,vokhtoga,58.8147,41.0461,14.48,83,100,1.6,RU,1724109553
332,la passe,45.5549,-0.8967,16.86,78,0,2.76,FR,1724109555
333,troitsko-pechorsk,62.7084,56.1964,10.17,93,10,0.84,RU,1724109556
334,nuuk,64.1835,-51.7216,4.93,75,16,6.71,GL,1724109557
335,bandar-e genaveh,29.5791,50.517,32.73,79,1,2.57,IR,1724109558
336,barra de santo antonio,-9.4047,-35.5072,24.06,78,89,4.17,BR,1724109559
337,humaita,-7.5061,-63.0208,31.73,33,51,1.35,BR,1724109560
338,nadym,65.5333,72.5167,9.19,78,75,2.39,RU,1724109561
339,grand-bassam,5.2118,-3.7388,23.98,90,100,3.67,CI,1724109563
340,lubango,-14.9172,13.4925,15.93,23,0,2.37,AO,1724109564
341,angaur state,6.906,134.13,28.98,76,52,4.27,PW,1724109565
